Image_Id,X,Y,Z
Cessna-0000,5,-0.485894574,-0.392308238
Cessna-0001,5,-0.574522013,-0.346205028
Cessna-0002,5,-0.658813595,-0.292584026
Cessna-0003,5,-0.73813347,-0.231849749
Cessna-0004,5,-0.81188305,-0.164460504
Cessna-0005,5,-0.879505585,-0.090925047
Cessna-0006,5,-0.940491114,-0.011797904
Cessna-0007,5,-0.994378955,0.072323193
Cessna-0008,5,-1.040762872,0.160804083
Cessna-0009,5,-1.079292497,0.252976442
Cessna-0010,5,-1.109677255,0.348145083
Cessna-0011,5,-1.131687782,0.445591675
Cessna-0012,5,-1.14515797,0.544580722
Cessna-0013,5,-1.149986197,0.644365603
Cessna-0014,5,-1.146136008,0.744192627
Cessna-0015,5,-1.133636424,0.843309229
Cessna-0016,5,-1.112581862,0.940966663
Cessna-0017,5,-1.083131108,1.036428521
Cessna-0018,5,-1.045506492,1.128974086
Cessna-0019,5,-0.999991947,1.217905016
Cessna-0020,5,-0.946930811,1.302550411
Cessna-0021,5,-0.886723814,1.382271041
Cessna-0022,5,-0.819824859,1.45646587
Cessna-0023,5,-0.746739338,1.524574388
Cessna-0024,5,-0.6680183,1.586083089
Cessna-0025,5,-0.584256175,1.640527497
Cessna-0026,5,-0.49608493,1.687496864
Cessna-0027,5,-0.404169831,1.726636776
Cessna-0028,5,-0.309204895,1.75765172
Cessna-0029,5,-0.211906165,1.780307824
Cessna-0030,5,-0.11300868,1.794433938
Cessna-0031,5,-0.013258017,1.799923574
Cessna-0032,5,0.08659245,1.796735256
Cessna-0033,5,0.185789522,1.784893058
Cessna-0034,5,0.283584585,1.764486332
Cessna-0035,5,0.379239389,1.735669142
Cessna-0036,5,0.47203256,1.698658792
Cessna-0037,5,0.561263153,1.653734862
Cessna-0038,5,0.646258495,1.601236016
Cessna-0039,5,0.726376559,1.5415588
Cessna-0040,5,0.801013121,1.475153307
Cessna-0041,5,0.86960478,1.402520782
Cessna-0042,5,0.931633871,1.324209411
Cessna-0043,5,0.986632503,1.240809871
Cessna-0044,5,1.034185287,1.152952078
Cessna-0045,5,1.073933728,1.061298368
Cessna-0046,5,1.10557755,0.966541119
Cessna-0047,5,1.128878159,0.869394853
Cessna-0048,5,1.143659618,0.77059303
Cessna-0049,5,1.149810409,0.670881179
Cessna-0050,5,1.147284108,0.571011549
Cessna-0051,5,1.136099808,0.471738322
Cessna-0052,5,1.116341821,0.373809958
Cessna-0053,5,1.088159408,0.277966262
Cessna-0054,5,1.051765062,0.184929839
Cessna-0055,5,1.007433601,0.095403264
Cessna-0056,5,0.955499498,0.010061948
Cessna-0057,5,0.896354607,-0.07045015
Cessna-0058,5,0.830445498,-0.145525157
Cessna-0059,5,0.75826914,-0.214596965
Cessna-0060,5,0.680370782,-0.277143786
Cessna-0061,5,0.597337685,-0.332694098
Cessna-0062,5,0.509796978,-0.380828328
Cessna-0063,5,0.418408984,-0.421183422
Cessna-0064,5,0.323863415,-0.453454797
Cessna-0065,5,0.228720947,-0.480550901
Cessna-0066,5,0.19332966,-0.568741306
Cessna-0067,5,0.10202538,-0.607468766
Cessna-0068,5,0.003156078,-0.621134671
Cessna-0069,5,-0.171057692,-0.583069209
Cessna-0070,5,-0.228706621,-0.506893838
Cessna-0071,5,-0.298336072,-0.460628466
Cessna-0072,5,-0.393600519,-0.430545525
