Image_Id,X,Y,Z
Cessna_with_camera-0000,5,-1.08,0.292288034
Cessna_with_camera-0001,5,-1.11,0.369100222
Cessna_with_camera-0002,5,-1.15,0.447046949
Cessna_with_camera-0003,5,-1.18,0.525813567
Cessna_with_camera-0004,5,-1.2,0.605082209
Cessna_with_camera-0005,5,-1.2,0.684532079
Cessna_with_camera-0006,5,-1.19,0.763842338
Cessna_with_camera-0007,5,-1.18,0.842692978
Cessna_with_camera-0008,5,-1.15,0.920765001
Cessna_with_camera-0009,5,-1.1,0.997742996
Cessna_with_camera-0010,5,-1.07,1.073316391
Cessna_with_camera-0011,5,-1.04,1.147179563
Cessna_with_camera-0012,5,-1,1.219033962
Cessna_with_camera-0013,5,-0.99,1.288589701
Cessna_with_camera-0014,5,-0.97,1.355565618
Cessna_with_camera-0015,5,-0.951,1.419690837
Cessna_with_camera-0016,5,-0.93403797,1.480706369
Cessna_with_camera-0017,5,-0.879378124,1.53836598
Cessna_with_camera-0018,5,-0.821165599,1.592436766
Cessna_with_camera-0019,5,-0.759635092,1.642700623
Cessna_with_camera-0020,5,-0.69503535,1.688954216
Cessna_with_camera-0021,5,-0.627628227,1.731010087
Cessna_with_camera-0022,5,-0.55768571,1.768698641
Cessna_with_camera-0023,5,-0.485489915,1.80186785
Cessna_with_camera-0024,5,-0.41133306,1.83038346
Cessna_with_camera-0025,5,-0.335514452,1.854130414
Cessna_with_camera-0026,5,-0.258340082,1.873012838
Cessna_with_camera-0027,5,-0.18012232,1.886954304
Cessna_with_camera-0028,5,-0.101176892,1.895898566
Cessna_with_camera-0029,5,-0.021822373,1.899809499
Cessna_with_camera-0030,5,0.057620059,1.898671265
Cessna_with_camera-0031,5,0.136829562,1.892488499
Cessna_with_camera-0032,5,0.215486543,1.881286136
Cessna_with_camera-0033,5,0.293272832,1.865109479
Cessna_with_camera-0034,5,0.369874202,1.8440239
Cessna_with_camera-0035,5,0.444981565,1.818114466
Cessna_with_camera-0036,5,0.51829118,1.787485935
Cessna_with_camera-0037,5,0.589506735,1.752262133
Cessna_with_camera-0038,5,0.658340919,1.712585166
Cessna_with_camera-0039,5,0.724515488,1.668615388
Cessna_with_camera-0040,5,0.787762844,1.620530629
Cessna_with_camera-0041,5,0.847827822,1.568524896
Cessna_with_camera-0042,5,0.904467735,1.512808273
Cessna_with_camera-0043,5,0.957453451,1.453606178
Cessna_with_camera-0044,5,1.006571189,1.391157501
Cessna_with_camera-0045,5,1.02,1.325714403
Cessna_with_camera-0046,5,1.05,1.257541724
Cessna_with_camera-0047,5,1.08,1.186914591
Cessna_with_camera-0048,5,1.09,1.114118092
Cessna_with_camera-0049,5,1.10,1.039446877
Cessna_with_camera-0050,5,1.11,0.963202326
Cessna_with_camera-0051,5,1.12,0.885692152
Cessna_with_camera-0052,5,1.13,0.807230083
Cessna_with_camera-0053,5,1.134,0.728132853
Cessna_with_camera-0054,5,1.136,0.648719659
Cessna_with_camera-0055,5,1.134,0.569311872
Cessna_with_camera-0056,5,1.13,0.49022978
Cessna_with_camera-0057,5,1.12,0.411792091
Cessna_with_camera-0058,5,1.11,0.334317112
Cessna_with_camera-0059,5,1.10,0.25811873
Cessna_with_camera-0060,5,1.09,0.183504135
Cessna_with_camera-0061,5,1.08,0.110774093
Cessna_with_camera-0062,5,1.05,0.040221872
Cessna_with_camera-0063,5,1.02,-0.02786724
Cessna_with_camera-0064,5,1.005050857,-0.093217851
Cessna_with_camera-0065,5,0.95580537,-0.155565699
Cessna_with_camera-0066,5,0.902698395,-0.214659244
Cessna_with_camera-0067,5,0.845944467,-0.270259724
Cessna_with_camera-0068,5,0.785773198,-0.322142213
Cessna_with_camera-0069,5,0.72242739,-0.370097381
Cessna_with_camera-0070,5,0.656162828,-0.41393155
Cessna_with_camera-0071,5,0.587247667,-0.453467343
Cessna_with_camera-0072,5,0.515960077,-0.488545212
Cessna_with_camera-0073,5,0.442915926,-0.519830741
Cessna_with_camera-0074,5,0.372133885,-0.555788646
Cessna_with_camera-0075,5,0.308013278,-0.602572979
Cessna_with_camera-0076,5,0.247028648,-0.653449371
Cessna_with_camera-0077,5,0.1,-0.689650749
Cessna_with_camera-0078,5,0.05,-0.710079954
Cessna_with_camera-0079,5,0.005,-0.720786407
Cessna_with_camera-0080,5,-0.058125595,-0.71652423
Cessna_with_camera-0081,5,-0.136207834,-0.702044589
Cessna_with_camera-0082,5,-0.21080552,-0.675062329
Cessna_with_camera-0083,5,-0.276056072,-0.630160483
Cessna_with_camera-0084,5,-0.334727482,-0.576578466
Cessna_with_camera-0085,5,-0.401896492,-0.534805569
Cessna_with_camera-0086,5,-0.475897186,-0.505864122
Cessna_with_camera-0087,5,-0.548366319,-0.473296212
Cessna_with_camera-0088,5,-0.618619861,-0.436190346
Cessna_with_camera-0089,5,-0.68637426,-0.394696307
Cessna_with_camera-0090,5,-0.751355534,-0.348981912
Cessna_with_camera-0091,5,-0.813301514,-0.299231609
Cessna_with_camera-0092,5,-0.871961916,-0.245646368
Cessna_with_camera-0093,5,-0.927099439,-0.18844298
Cessna_with_camera-0094,5,-0.978491619,-0.127852269
Cessna_with_camera-0095,5,-0.995930897,-0.064118894
Cessna_with_camera-0096,5,-1.0092253,0.002499222
Cessna_with_camera-0097,5,-1.028200171,0.071733295
Cessna_with_camera-0098,5,-1.052697981,0.143303519
Cessna_with_camera-0099,5,-1.072579557,0.216921275
